type,address,item type,score,stauts,name,price,upc
,,,,Limited Stock,"Great Value Everyday Paper Towels, 2 Double Rolls",198,078742210780
target,941 Alamo Dr.,Egg,20.0,,,,
,,,,In Stock,"Great Value Large Brown AA Eggs, 12 Count",100,7874214817
,,,,In Stock,"Marketside Organic Cage Free Brown Eggs, Large, 18 count, 36 oz",574,68113112280
,,,,In Stock,"Marketside Organic Cage Free Brown Eggs, Large, 12 count, 24 oz",362,68113112277
,,,,In Stock,"Great Value Large White AA Eggs, 6 Count",186,7874214810
,,,,In Stock,"Great Value Large White Grade AA Eggs, 18 Count",479,7874214839
target,941 Alamo Dr.,Milk,5.0,,,,
,,,,Limited Stock,"Horizon Organic 1% Lowfat Shelf Stable Chocolate Milk, 8 Oz., 12 Count",1198,74236500270
,,,,Limited Stock,"Horizon Organic 1% Lowfat Shelf-Stable DHA Omega-3 Chocolate Milk, 8 Oz., 6 Count",684,74236500432
target,941 Alamo Dr.,Bread,5.0,,,,
,,,,Limited Stock,Canyon Bakehouse Gluten Free Ancient Grain Bread 15 oz,498,85358400229
target,1501 Helen Power Dr,Peanut-Butter,7.5,,,,
,,,,In Stock,"SKIPPY Natural Creamy Peanut Butter, 15 oz",248,3760010506
,,,,In Stock,"SunButter Natural Sunflower Butter, 16 oz",482,73753919120
,,,,Limited Stock,"Great Value No Stir Creamy Natural Peanut Butter Spread, 40 oz",332,7874200831
,,,,Limited Stock,Nuttzo Seed Butter Peanut,697,89469700227
target,1501 Helen Power Dr,Meat,9.0,,,,
,,,,In Stock,"Morningstar Farms Meat Lovers Vegan Burgers, 4oz, 4 count",648,2898910229
,,,,In Stock,"All Natural* 80% Lean/20% Fat Ground Beef Chuck Tray, 1 lb",447,7874226954
,,,,In Stock,"PRICE PER LB: Foster Farms Party Pack Chicken Wings, 4.75-5.0 lb",227,25945200000
,,,,In Stock,Morningstar Farms Frozen Veggie Hot Dogs 8.4 oz 6 ct,283,2898957799
,,,,Limited Stock,"Marketside Butcher Ground Bison, 1 lb",898,68113115195
target,1501 Helen Power Dr,Bottled-Water,7.0,,,,
,,,,In Stock,"Essentia Water; Better Rehydration* 1 Liter Bottles, Case of 6",998,65722700210
,,,,Limited Stock,"Propel Electrolyte Water, Kiwi Strawberry, 16.9 oz Bottles, 12 Count",638,5200051200
,,,,Limited Stock,"Propel Electrolyte Water, Black Cherry, 16.9 oz Bottles, 12 Count",638,5200013318
,,,,Limited Stock,"Propel Electrolyte Water, Berry, 16.9 oz Bottles, 12 Count",638,5200051233
,,,,Limited Stock,"LIFEWTR, Purified Water, pH Balanced with Electrolytes For Taste, 1 Liter bottles (6 Count)",748,1200017002
target,1501 Helen Power Dr,Toilet-Paper,10.0,,,,
,,,,In Stock,"Cottonelle Ultra ComfortCare Toilet Paper, 12 Mega Rolls (=48 Regular Rolls)",1248,3600048596
target,1501 Helen Power Dr,Masks,9.0,,,,
,,,,In Stock,"L'Oreal Paris Revitalift Triple Power Intensive Anti-Aging Night Face Mask, 1.7 oz.",1797,7124924073
,,,,In Stock,"SheaMoisture African Black Soap Clarifying Mud Mask Packette Sulfate-Free, 0.5 oz",248,76430227072
,,,,In Stock,"Masqueology Collagen Hydro Gel Gold Face Mask, 0.98 Oz, 2 Count",250,85758100360
,,,,Limited Stock,Swissco Spa Bella Delux Mask,484,76989888105
,,,,Limited Stock,So Fresh So Clean Powerful Peel Off Black Mask,688,81465502578
target,1501 Helen Power Dr,Canned-Food,11.0,,,,
,,,,In Stock,BUSHS Original Baked Beans 117 oz.,698,3940001628
,,,,In Stock,"Bumble Bee Prime Fillet Solid White Albacore Tuna in Water, 5oz Can, High Protein Food and Snacks",212,8660000011
,,,,In Stock,"Muir Glen, Organic Crushed Fire Roasted Tomatoes, 28 oz",243,72534229043
,,,,In Stock,"Dominguez Family Enterprises Juanitas Foods Menudo, 25 oz",294,7013200201
,,,,Limited Stock,"(18 Pack) Fancy Feast Gravy Wet Cat Food Variety Pack, Medleys Florentine Collection, 3 oz. Cans",1458,5000057282
target,1501 Helen Power Dr,Hand-sanitizer,11.0,,,,
,,,,In Stock,"Equate Travel Size Moisturizing Hand Sanitizer with Aloe, 3 fl oz",97,681131346580
,,,,In Stock,"Hello Bello Hand Sanitizer Spray, Apple Blossom, 1.65oz",184,810007189925
,,,,In Stock,"Tiny Wellness Co Hand Sanitizer Spray, Unscented, 2oz",197,810007189994
,,,,In Stock,"Equate Moisturizing Hand Sanitizer with Vitamin E, 34 fl oz - May Ship with a Flip Top Cap",397,681131247665
,,,,Limited Stock,HAND SANITIZER ASST,10,190425083563
target,1501 Helen Power Dr,Wet-Wipes,13.0,,,,
,,,,In Stock,"2 Pack, Equate Beauty Makeup Remover Wipes, 80 Count",597,68113107281
,,,,In Stock,"2 Pack, Equate Beauty Night-Time Soothing Makeup Remover Wipes, 40 ct",597,68113111216
,,,,In Stock,"2 Pack, Neutrogena Night Calming Makeup Remover Wipes, 25 ct",1096,7050120008
,,,,In Stock,Neutrogena Makeup Remover Cleansing Towelettes,493,7050111090
,,,,In Stock,Simple Kind to Skin Cleansing Facial Cleansing Wipes 25 Wipes,446,8730070005
target,1501 Helen Power Dr,Hot-Dogs,20.0,,,,
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 16 Count",526,5450019334
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 8 Count",264,5450019322
,,,,In Stock,"Lightlife Smart Dogs Meatless Veggie Hot Dogs, 8 count, 12 oz",297,4345410080
,,,,In Stock,"Ball Park Angus Beef Hot Dogs, Bun Size Length, 8 Count",294,5450010174
,,,,In Stock,"Oscar Mayer Classic Uncured Beef Hot Dogs, 10 ct - 15.0 oz Package",294,4470007505
target,1501 Helen Power Dr,Rice,5.0,,,,
,,,,Limited Stock,"Botan Extra Fancy Calrose Rice, 20 lb",1748,1115214409
,,,,Limited Stock,"Goya Arroz Amarillo Yellow Rice, Spanish Style, 8 Oz, 24 Ct",223,4133112662
,,,,Limited Stock,"UNCLE BEN'S Ready Rice: Cheddar Broccoli, 8.5oz",198,5480042080
,,,,Limited Stock,"InnovAsian Vegetable Fried Rice Frozen Asian Side Dish, 18 oz",374,69511912014
target,1501 Helen Power Dr,Frozen-Foods,17.0,,,,
,,,,In Stock,HOT POCKETS Four Cheese Pizza Frozen Sandwiches 12 ct. Box | Frozen Food With Reduced-Fat Mozzarella Cheese,962,4369507521
,,,,In Stock,"Tyson Fully Cooked Fun Nuggets with Whole Grain Breading, 29 oz. (Frozen)",438,2370001452
,,,,In Stock,"STOUFFERS CLASSICS Lasagna with Meat & Sauce, Party Size Frozen Meal",1178,1380055131
,,,,In Stock,Healthy Choice Simply Steamers Frozen Dinner Grilled Chicken & Broccoli Alfredo 9.15 Ounce,258,7265500124
,,,,In Stock,"Jimmy Dean Meat Lovers Breakfast Bowl, 7 oz.",264,7790070615
target,1501 Helen Power Dr,Pasta,16.0,,,,
,,,,In Stock,BIRDS EYE Steamfresh Pasta Marinara,297,1450001745
,,,,In Stock,"Pasta Lensi Red Lentil Fusilli, 10 oz",344,4732591015
,,,,In Stock,"Rana Mozzarella Cheese Ravioli, 18 oz",592,87744800261
,,,,In Stock,"Great Value Cheese Tortellini Pasta, 19 oz",277,7874200945
,,,,In Stock,"Rana Spinach & Ricotta Ravioli, 18 oz",592,87744800262
target,1501 Helen Power Dr,Beans,10.0,,,,
,,,,In Stock,BUSHS Original Baked Beans 117 oz.,698,3940001628
,,,,In Stock,C & W Frozen Foods C & W Petite Whole Beans 14 oz,192,7033200055
,,,,In Stock,"Amy's Southwestern Burrito, Made with Organic Corn, Beans and Tomatoes, Non GMO, 5.5-Ounce",274,4227200076
,,,,In Stock,Mama Julia Pinto Beans,172,85370200253
target,1501 Helen Power Dr,Chicken,14.0,,,,
,,,,In Stock,"Tyson Grilled & Ready Fully Cooked Grilled Chicken Breast Strips, 22 oz. (Frozen)",668,2370001625
,,,,In Stock,"Great Value Boneless Skinless Chicken Breast, 3 lb. (Frozen)",594,7874237394
,,,,In Stock,"Applegate Naturals Gluten-Free Chicken Nuggets, 16.0 OZ",987,2531705519
,,,,In Stock,"Tyson Grilled & Ready Fully Cooked Oven Roasted Diced Chicken Breast, 22 oz. (Frozen)",668,2370001627
,,,,In Stock,"Great Value All Natural Chicken Wing Sections, 64 oz",926,7874212452
target,1501 Helen Power Dr,Paper-Towels,8.0,,,,
,,,,In Stock,"Bounty Select-A-Size Paper Towels, White, 2 Double Rolls = 4 Regular Rolls",464,037000762287
,,,,In Stock,"Sparkle Pick-A-Size Paper Towels, 4 Double Rolls",498,030400221026
,,,,In Stock,"Bounty Select-A-Size Paper Towels, White, 12 Double Rolls = 24 Regular Rolls",1988,037000762096
,,,,Limited Stock,"Sparkle Pick-A-Size Paper Towels, 6 Double Rolls",644,030400221002
,,,,Limited Stock,"Viva Multi-Surface Cloth Paper Towels, Choose-A-Sheet, 6 Double Rolls (=12 Regular Rolls)",998,036000508642
target,1501 Helen Power Dr,Egg,18.0,,,,
,,,,In Stock,"Egg-Land's Best All Natural Large White Eggs, 18 Count",398,71514111357
,,,,In Stock,"Marketside Organic Cage Free Brown Eggs, Large, 18 count, 36 oz",574,68113112280
,,,,In Stock,"Marketside Organic Cage Free Brown Eggs, Large, 12 count, 24 oz",362,68113112277
,,,,In Stock,"Great Value Large White Grade AA Eggs, 18 Count",440,7874214839
,,,,In Stock,"Great Value Large White AA Eggs, 6 Count",171,7874214810
target,1501 Helen Power Dr,Milk,5.0,,,,
,,,,Limited Stock,"Horizon Organic 1% Lowfat Shelf Stable Chocolate Milk, 8 Oz., 12 Count",1198,74236500270
,,,,Limited Stock,"Horizon Organic 1% Lowfat Shelf-Stable DHA Omega-3 Chocolate Milk, 8 Oz., 6 Count",684,74236500432
target,4625 Redwood Dr,Peanut-Butter,10.0,,,,
,,,,In Stock,"SKIPPY Natural Creamy Peanut Butter, 15 oz",248,3760010506
,,,,In Stock,Peter Pan Original Peanut Butter Creamy Peanut Butter Spread 16.3 Oz,194,4530000549
target,4625 Redwood Dr,Meat,8.333333333333334,,,,
,,,,In Stock,"Sam's Choice Black Angus Beef Patties, 6 ct, 2 lb (Frozen)",898,7874202908
,,,,In Stock,Tyson Chicken Breast Patties,497,2370001450
,,,,Limited Stock,Mistica Ranch Meats Cheez-it Chicken Bites,500,85951500571
target,4625 Redwood Dr,Bottled-Water,8.75,,,,
,,,,In Stock,"Propel Electrolyte Water, Black Cherry, 16.9 oz Bottles, 12 Count",638,5200013318
,,,,In Stock,"Propel Electrolyte Water, Berry, 16.9 oz Bottles, 12 Count",638,5200051233
,,,,In Stock,"LIFEWTR, Purified Water, pH Balanced with Electrolytes For Taste, 1 Liter bottles (6 Count)",748,1200017002
,,,,Limited Stock,"Propel Electrolyte Water, Kiwi Strawberry, 16.9 oz Bottles, 12 Count",638,5200051200
target,4625 Redwood Dr,Toilet-Paper,10.0,,,,
,,,,In Stock,"Scott 1000 Toilet Paper, 12 Rolls, 12,000 Sheets",987,5400010060
target,4625 Redwood Dr,Masks,11.0,,,,
,,,,In Stock,"Masqueology Collagen Hydro Gel Gold Face Mask, 0.98 Oz, 2 Count",250,85758100360
,,,,In Stock,"Spascriptions Rose, Gold & Cucumber Gel Face Mask",500,81465502481
,,,,In Stock,Swissco Spa Bella Delux Mask,484,76989888105
,,,,In Stock,So Fresh So Clean Powerful Peel Off Black Mask,688,81465502578
,,,,In Stock,"SheaMoisture African Black Soap Clarifying Mud Mask Packette Sulfate-Free, 0.5 oz",248,76430227072
target,4625 Redwood Dr,Canned-Food,7.5,,,,
,,,,In Stock,"Bumble Bee Prime Fillet Solid White Albacore Tuna in Water, 5oz Can, High Protein Food and Snacks",212,8660000011
,,,,In Stock,"Mezzetta Sweet Banana Wax Peppers, 16.0 FL OZ",228,7321400116
,,,,Limited Stock,"(18 Pack) Fancy Feast Gravy Wet Cat Food Variety Pack, Medleys Florentine Collection, 3 oz. Cans",1458,5000057282
,,,,Limited Stock,"Rachael Ray Nutrish PEAK Natural Premium Wet Dog Food Variety Pack, Grain Free Adventure Pack, 3.5 Oz. Tub (Pack Of 18)",1082,7119000183
target,4625 Redwood Dr,Hand-sanitizer,12.0,,,,
,,,,In Stock,"Equate Travel Size Moisturizing Hand Sanitizer with Aloe, 3 fl oz",97,681131346580
,,,,In Stock,"Hello Bello Hand Sanitizer Spray, Apple Blossom, 1.65oz",184,810007189925
,,,,In Stock,"Way To Celebrate Easter Hand Sanitizer, Butterflies",10,190425083594
,,,,In Stock,"Way To Celebrate Easter Hand Sanitizer, Bunny, 1 fl oz",10,190425083631
,,,,In Stock,"Owl Hand Sanitizer, Pink, 27 mL.",10,843736039940
target,4625 Redwood Dr,Wet-Wipes,14.0,,,,
,,,,In Stock,"2 Pack, Equate Beauty Makeup Remover Wipes, 80 Count",597,68113107281
,,,,In Stock,"2 Pack, Equate Beauty Night-Time Soothing Makeup Remover Wipes, 40 ct",597,68113111216
,,,,In Stock,"Bona Express Disposable Wet Cleaning Pads for Hardwood Floors, 12 count",897,73702501128
,,,,In Stock,"Olay Regenerist Micro-Exfoliating Wet Cleansing Cloths, 30 Count",692,7560960404
,,,,In Stock,"2 Pack, Neutrogena Night Calming Makeup Remover Wipes, 25 ct",1096,7050120008
target,4625 Redwood Dr,Hot-Dogs,16.0,,,,
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 8 Count",264,5450019322
,,,,In Stock,"Nathan's Famous Skinless Beef Franks, 14 oz",367,88831391499
,,,,In Stock,"Jimmy Dean Premium Pork Hot Sausage Roll, 16 oz.",348,7790011563
,,,,In Stock,"Jimmy Dean Premium Pork Regular Sausage Roll, 16 oz.",348,7790011553
,,,,In Stock,"Bar S Franks Made with Chicken & Pork, 12 Oz.",77,1590013401
target,4625 Redwood Dr,Rice,10.0,,,,
,,,,In Stock,"Beech-Nut Baby Cereal Canister, Stage 1, Rice, 8 oz",238,5220003470
,,,,In Stock,Pinnacle Foods Birds Eye Steamfresh Chefs Favorites Chicken Flavored Rice 10 oz,197,1450001312
,,,,In Stock,"Smart Ones Creamy Rigatoni With Broccoli & Chicken, Frozen Meal, 9 oz Box",125,2580002242
,,,,In Stock,Michelina's Fettuccine Alfredo with Chicken & Broccoli Frozen Entree 8 oz. Tray,100,71785410521
,,,,In Stock,Knorr Cheddar Broccoli Pasta Sides 4.3 oz,100,4100002286
target,4625 Redwood Dr,Frozen-Foods,19.0,,,,
,,,,In Stock,"Amy's Frozen Bowls, Mexican Casserole, Non GMO, 9.5-Ounce",374,4227200163
,,,,In Stock,"STOUFFERS CLASSICS Lasagna with Meat & Sauce, Party Size Frozen Meal",1178,1380055131
,,,,In Stock,Healthy Choice Cafe Steamers Frozen Dinner Asian Inspired Beef Teriyaki 9.5 Ounce,252,7265500110
,,,,In Stock,"Jimmy Dean Meat Lovers Breakfast Bowl, 7 oz.",264,7790070615
,,,,In Stock,"Bertolli Frozen Skillet Meals Family Size Chicken Florentine & Farfalle, 36 Oz",864,3100067068
target,4625 Redwood Dr,Pasta,10.0,,,,
,,,,In Stock,Pasta Gourmet Italia Ocean Adventures Pasta,158,62081114427
,,,,In Stock,"LEAN CUISINE FAVORITES Alfredo Pasta with Chicken & Broccoli, Frozen Meal",198,1380017419
target,4625 Redwood Dr,Chicken,12.0,,,,
,,,,In Stock,"Great Value All Natural Chicken Wing Sections, 64 oz",926,7874212452
,,,,In Stock,"Tyson Fully Cooked Chicken Nuggets, 32 oz. (Frozen)",497,2370002847
,,,,In Stock,"Great Value Boneless Skinless Chicken Breast, 3 lb. (Frozen)",594,7874237394
,,,,In Stock,"Tyson Grilled & Ready Fully Cooked Grilled Chicken Breast Strips, 22 oz. (Frozen)",668,2370001625
,,,,In Stock,Tyson Chicken Breast Patties,497,2370001450
target,4625 Redwood Dr,Paper-Towels,10.0,,,,
,,,,In Stock,"Sparkle Pick-A-Size Paper Towels, 6 Double Rolls",644,030400221002
,,,,In Stock,"Bounty Select-A-Size Paper Towels, White, 2 Double Rolls = 4 Regular Rolls",464,037000762287
,,,,In Stock,"Sparkle Pick-A-Size Paper Towels, 4 Double Rolls",498,030400221026
,,,,In Stock,"Bounty Select-A-Size Paper Towels, White, 12 Double Rolls = 24 Regular Rolls",1988,037000762096
,,,,In Stock,"Great Value Ultra Strong Paper Towels, Split Sheets, 6 Double Rolls",842,078742210827
target,4625 Redwood Dr,Egg,10.0,,,,
,,,,In Stock,"Great Value Large White Grade AA Eggs, 18 Count",350,7874214839
,,,,In Stock,"Great Value Large White Grade AA Eggs, 12 Count",281,7874214838
target,4625 Redwood Dr,Milk,5.0,,,,
,,,,Limited Stock,"Horizon Organic 1% Lowfat Shelf Stable Chocolate Milk, 8 Oz., 12 Count",1198,74236500270
target,7011 Main St,Peanut-Butter,9.0,,,,
,,,,In Stock,"PBfit Organic All-Natural Peanut Butter Powder, 15 oz",868,89792200275
,,,,In Stock,"Great Value No Stir Creamy Natural Peanut Butter Spread, 40 oz",332,7874200831
,,,,In Stock,"SunButter Natural Sunflower Butter, 16 oz",482,73753919120
,,,,In Stock,Nuttzo Seed Butter Peanut,697,89469700227
,,,,Limited Stock,"MaraNatha Light Roast Creamy Almond Butter, 12 Ounce Jar",698,5165119240
target,7011 Main St,Meat,11.0,,,,
,,,,In Stock,"Morningstar Farms Meat Lovers Vegan Burgers, 4oz, 4 count",648,2898910229
,,,,In Stock,"All Natural* 80% Lean/20% Fat Ground Beef Chuck Tray, 1 lb",447,7874226954
,,,,In Stock,"All Natural* 85% Lean/15% Fat Angus Steak Patties 12 Count, 4 lb",1692,7874226951
,,,,In Stock,"PRICE PER LB: Foster Farms Party Pack Chicken Wings, 4.75-5.0 lb",227,25945200000
,,,,In Stock,"Top Chick Boneless White Meat Chicken Bites, 32 oz",698,72195200226
target,7011 Main St,Bottled-Water,8.333333333333334,,,,
,,,,In Stock,"Essentia Water; Better Rehydration* 1 Liter Bottles, Case of 6",998,65722700210
,,,,In Stock,HFactor - Hydrogen Infused Water - 11 fl. oz.,100,85242700606
,,,,Limited Stock,"LIFEWTR, Purified Water, pH Balanced with Electrolytes For Taste, 1 Liter bottles (6 Count)",748,1200017002
target,7011 Main St,Toilet-Paper,5.0,,,,
,,,,Limited Stock,"Cottonelle FreshCare Flushable Wipes, resealable pack, 168 wipes total",638,3600041777
target,7011 Main St,Masks,9.0,,,,
,,,,In Stock,"Masqueology Collagen Hydro Gel Gold Face Mask, 0.98 Oz, 2 Count",250,85758100360
,,,,In Stock,"SheaMoisture African Black Soap Clarifying Mud Mask Packette Sulfate-Free, 0.5 oz",248,76430227072
,,,,In Stock,e.l.f. Hydrating Bubble Mask,1400,60933257021
,,,,Limited Stock,Swissco Spa Bella Delux Mask,484,76989888105
,,,,Limited Stock,"L'Oreal Paris Revitalift Triple Power Intensive Anti-Aging Night Face Mask, 1.7 oz.",1797,7124924073
target,7011 Main St,Canned-Food,7.0,,,,
,,,,In Stock,BUSHS Original Baked Beans 117 oz.,698,3940001628
,,,,In Stock,"Muir Glen, Organic Crushed Fire Roasted Tomatoes, 28 oz",243,72534229043
,,,,Limited Stock,"(18 Pack) Fancy Feast Gravy Wet Cat Food Variety Pack, Medleys Florentine Collection, 3 oz. Cans",1458,5000057282
,,,,Limited Stock,"Hormel Foods BLACK LABEL Can Ham, 48 oz",942,3760023221
,,,,Limited Stock,"East Point Wild Caught Tiny North Pacific Shrimp, 4 oz",354,4136910120
target,7011 Main St,Hand-sanitizer,14.0,,,,
,,,,In Stock,"Equate Travel Size Moisturizing Hand Sanitizer with Aloe, 3 fl oz",97,681131346580
,,,,In Stock,"Hello Bello Hand Sanitizer Spray, Apple Blossom, 1.65oz",184,810007189925
,,,,In Stock,"Way To Celebrate Easter Hand Sanitizer, Butterflies",10,190425083594
,,,,In Stock,"Way To Celebrate Easter Hand Sanitizer, Bunny, 1 fl oz",10,190425083631
,,,,In Stock,"Hand Sanitizer with Cup Cat Holder, 30 mL.",25,843736037984
target,7011 Main St,Wet-Wipes,11.0,,,,
,,,,In Stock,"2 Pack, Equate Beauty Makeup Remover Wipes, 80 Count",597,68113107281
,,,,In Stock,"2 Pack, Equate Beauty Night-Time Soothing Makeup Remover Wipes, 40 ct",597,68113111216
,,,,In Stock,Neutrogena Makeup Remover Cleansing Towelettes,493,7050111090
,,,,In Stock,"Neutrogena Fragrance Free Makeup Remover Facial Wipes, 25 ct., 2 Pack",897,7050120014
,,,,In Stock,"2 Pack, Neutrogena Night Calming Makeup Remover Wipes, 25 ct",1096,7050120008
target,7011 Main St,Hot-Dogs,20.0,,,,
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 8 Count",264,5450019322
,,,,In Stock,"Ball Park Beef Hot Dogs, Original Length, 16 Count",526,5450019334
,,,,In Stock,"Ball Park Beef Hot Dogs, Bun Size Length, 16 Count",526,5450019347
,,,,In Stock,"Ball Park Classic Hot Dogs, Bun Size Length, 8 Count",166,5450019327
,,,,In Stock,"Oscar Mayer Classic Uncured Beef Hot Dogs, 10 ct - 15.0 oz Package",294,4470007505
target,7011 Main St,Rice,6.25,,,,
,,,,In Stock,"Mahatma Jasmine Brown Rice, 2-Pound Bag",268,1740022259
,,,,Limited Stock,"Botan Extra Fancy Calrose Rice, 20 lb",1748,1115214409
,,,,Limited Stock,"UNCLE BEN'S Ready Rice: Cheddar Broccoli, 8.5oz",198,5480042080
,,,,Limited Stock,"InnovAsian Vegetable Fried Rice Frozen Asian Side Dish, 18 oz",374,69511912014
target,7011 Main St,Frozen-Foods,19.0,,,,
,,,,In Stock,HOT POCKETS Applewood Bacon Egg and Cheese Frozen Sandwiches 5 ct. Box Frozen Food With Reduced-Fat Cheddar Cheese,500,4369521114
,,,,In Stock,HOT POCKETS Philly Steak & Cheese Frozen Sandwiches 12 ct. Box Frozen Food Cheesesteak With Reduced-Fat Mozzarella Cheese,962,4369507520
,,,,In Stock,"Tyson Fully Cooked Fun Nuggets with Whole Grain Breading, 29 oz. (Frozen)",497,2370001452
,,,,In Stock,"STOUFFERS CLASSICS Lasagna with Meat & Sauce, Party Size Frozen Meal",1178,1380055131
,,,,In Stock,Healthy Choice Simply Steamers Frozen Dinner Grilled Chicken & Broccoli Alfredo 9.15 Ounce,258,7265500124
target,7011 Main St,Pasta,13.0,,,,
,,,,In Stock,BIRDS EYE Steamfresh Pasta Marinara,297,1450001745
,,,,In Stock,Pasta Roni White Cheddar & Broccoli Flavor Pasta Mix 5.5 oz. Box,100,1530044033
,,,,In Stock,"Rana Mozzarella Cheese Ravioli, 18 oz",592,87744800261
,,,,In Stock,"Great Value Cheese Tortellini Pasta, 19 oz",277,7874200945
,,,,In Stock,"Rana Spinach & Ricotta Ravioli, 18 oz",592,87744800262
target,7011 Main St,Beans,8.75,,,,
,,,,In Stock,BUSHS Original Baked Beans 117 oz.,698,3940001628
,,,,In Stock,"Amy's Southwestern Burrito, Made with Organic Corn, Beans and Tomatoes, Non GMO, 5.5-Ounce",274,4227200076
,,,,In Stock,Mama Julia Pinto Beans,172,85370200253
,,,,Limited Stock,"Great Value Frozen Beef Chili with No Beans, 28 oz",500,7874207224
target,7011 Main St,Chicken,14.0,,,,
,,,,In Stock,"Tyson Naturals Gluten Free Breaded Chicken Breast Nuggets, 20 oz. (Frozen)",677,2370004385
,,,,In Stock,Perdue Harvestland NAE Frozen Boneless Skinless Indiviually Wrapped Chicken Breasts (2.25 lbs.),988,7274554618
,,,,In Stock,"Applegate Naturals Gluten-Free Chicken Nuggets, 16.0 OZ",987,2531705519
,,,,In Stock,"Great Value Boneless Skinless Chicken Breast, 5 lb. (Frozen)",976,7874202661
,,,,In Stock,"Great Value Boneless Skinless Chicken Breast, 3 lb. (Frozen)",594,7874237394
target,7011 Main St,Paper-Towels,9.0,,,,
,,,,In Stock,"Sparkle Pick-A-Size Paper Towels, 6 Double Rolls",644,030400221002
,,,,In Stock,"Viva Multi-Surface Cloth Paper Towels, Choose-A-Sheet, 6 Double Rolls (=12 Regular Rolls)",998,036000508642
,,,,In Stock,"Bounty Select-A-Size Paper Towels, White, 2 Double Rolls = 4 Regular Rolls",464,037000762287
,,,,In Stock,"Sparkle Pick-A-Size Paper Towels, 4 Double Rolls",498,030400221026
,,,,Limited Stock,"Great Value Everyday Strong Paper Towels, Split Sheet, 4 Double Rolls",382,078742210797
target,7011 Main St,Egg,20.0,,,,
,,,,In Stock,"Marketside Organic Cage Free Brown Eggs, Large, 12 count, 24 oz",362,68113112277
,,,,In Stock,"Marketside Organic Cage Free Brown Eggs, Large, 18 count, 36 oz",574,68113112280
,,,,In Stock,"Marketside Large Cage Free Brown Eggs, 12 count, 24 oz",248,68113112276
,,,,In Stock,"Great Value Large White AA Eggs, 6 Count",230,7874214810
,,,,In Stock,"Great Value Large White Grade AA Eggs, 18 Count",591,7874214839
target,7011 Main St,Milk,7.5,,,,
,,,,In Stock,"Horizon Organic 1% Lowfat Shelf-Stable DHA Omega-3 Chocolate Milk, 8 Oz., 6 Count",684,74236500432
,,,,Limited Stock,"Horizon Organic 1% Lowfat Shelf Stable Chocolate Milk, 8 Oz., 12 Count",1198,74236500270
target,44009 Osgood Rd,Peanut-Butter,12.0,,,,
,,,,In Stock,"SKIPPY Natural Creamy Peanut Butter, 15 oz",248,3760010506
,,,,In Stock,"PBfit Organic All-Natural Peanut Butter Powder, 15 oz",868,89792200275
,,,,In Stock,"SunButter Natural Sunflower Butter, 16 oz",482,73753919120
,,,,In Stock,"Sam's Choice Creamy Honey Almond Butter, 12 oz",498,7874223286
,,,,In Stock,"MaraNatha Organic Raw Creamy Almond Butter, 12 Ounce Jar",1548,5165119384
target,44009 Osgood Rd,Meat,10.0,,,,
,,,,In Stock,"All Natural* 90% Lean/10% Fat Ground Beef Sirloin Tray, 2.25 lb",1062,7874226962
,,,,In Stock,"Ball Park Fully-Cooked Flame Grilled Original Beef Patties, 6 Count (Frozen)",697,5450019145
,,,,In Stock,"Prospect Farms Rock Cornish Game Hen without Neck & Giblets, 1.0 lbs.",298,2370000815
,,,,In Stock,"Sam's Choice Black Angus Beef Patties, 6 ct, 2 lb (Frozen)",898,7874202908
target,44009 Osgood Rd,Bottled-Water,7.0,,,,
,,,,In Stock,"LIFEWTR, Purified Water, pH Balanced with Electrolytes For Taste, 1 Liter bottles (6 Count)",748,1200017002
,,,,In Stock,"Essentia Water; Better Rehydration* 1 Liter Bottles, Case of 6",998,65722700210
,,,,Limited Stock,"Propel Electrolyte Water, Black Cherry, 16.9 oz Bottles, 12 Count",638,5200013318
,,,,Limited Stock,"Propel Electrolyte Water, Kiwi Strawberry, 16.9 oz Bottles, 12 Count",638,5200051200
,,,,Limited Stock,"Propel Electrolyte Water, Berry, 16.9 oz Bottles, 12 Count",638,5200051233
target,44009 Osgood Rd,Toilet-Paper,7.5,,,,
,,,,In Stock,"Equate Flushable Wipes, Fresh Scent, 3 Packs of 48 Wipes, 144 Wipes Total",378,68113110523
,,,,Limited Stock,"Scott 1000 Toilet Paper, 12 Rolls, 12,000 Sheets",987,5400010060
target,44009 Osgood Rd,Masks,13.0,,,,
,,,,In Stock,Swissco Spa Bella Delux Mask,484,76989888105
,,,,In Stock,So Fresh So Clean Powerful Peel Off Black Mask,688,81465502578
,,,,In Stock,"SheaMoisture African Black Soap Clarifying Mud Mask Packette Sulfate-Free, 0.5 oz",248,76430227072
,,,,In Stock,"Masqueology Collagen Hydro Gel Gold Face Mask, 0.98 Oz, 2 Count",250,85758100360
,,,,In Stock,e.l.f. Hydrating Bubble Mask,150,60933257021
target,44009 Osgood Rd,Canned-Food,10.0,,,,
,,,,In Stock,"East Point Wild Caught Tiny North Pacific Shrimp, 4 oz",354,4136910120
,,,,In Stock,"Dominguez Family Enterprises Juanitas Foods Menudo, 25 oz",294,7013200201
